Keychains,,Keys,,,
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Edit design', NOW(), uuid_nil())",7f2b7084-4533-4824-b688-50cf35de7ef8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7f2b7084-4533-4824-b688-50cf35de7ef8','Catalog Management','Catalog Management','Designs','Edit design','Edit a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Delete a design', NOW(), uuid_nil())",f024fcf7-3c3d-4521-b83e-6d659353ca0e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f024fcf7-3c3d-4521-b83e-6d659353ca0e','Catalog Management','Catalog Management','Designs','Delete a design','Delete a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Download a design', NOW(), uuid_nil())",64de96b7-60db-4aab-b311-afc64066b2c4,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('64de96b7-60db-4aab-b311-afc64066b2c4','Catalog Management','Catalog Management','Designs','Download a design','', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Import Filter', NOW(), uuid_nil())",cb79d7fb-19de-45fa-aaf5-0a0afc832bf8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cb79d7fb-19de-45fa-aaf5-0a0afc832bf8','Catalog Management','Catalog Management','Filters','Import Filter','Import a filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Publish WASM Filter', NOW(), uuid_nil())",173d99b7-3820-4c0c-88b2-a8455bd7a6b5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('173d99b7-3820-4c0c-88b2-a8455bd7a6b5','Catalog Management','Catalog Management','Filters','Publish WASM Filter','Publish WASM Filter', NOW(), uuid_nil())",X,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Unpublish WASM Filter', NOW(), uuid_nil())",773f0a4d-ba04-40ed-9298-59ac8749804a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('773f0a4d-ba04-40ed-9298-59ac8749804a','Catalog Management','Catalog Management','Filters','Unpublish WASM Filter','Unpublish WASM Filter', NOW(), uuid_nil())",X,FALSE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Download a WASM filter', NOW(), uuid_nil())",24325b2c-5e08-4ba8-809f-8a4a1bf91084,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('24325b2c-5e08-4ba8-809f-8a4a1bf91084','Catalog Management','Catalog Management','Filters','Download a WASM filter','Download a WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Details of WASM Filter', NOW(), uuid_nil())",86c457b5-b9ec-4223-af1f-30a5be67d69d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('86c457b5-b9ec-4223-af1f-30a5be67d69d','Catalog Management','Catalog Management','Filters','Details of WASM Filter','Check information or details of a WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Edit WASM filter', NOW(), uuid_nil())",88cd144e-806e-472a-a31a-ef6d64643291,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('88cd144e-806e-472a-a31a-ef6d64643291','Catalog Management','Catalog Management','Filters','Edit WASM filter','Edit WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Clone WASM Filter', NOW(), uuid_nil())",c84718ca-7479-4ad9-a2b7-a5784baa51fb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c84718ca-7479-4ad9-a2b7-a5784baa51fb','Catalog Management','Catalog Management','Filters','Clone WASM Filter','Clone WASM filter from catalog, which allows customizing filter and use it in design', NOW(), uuid_nil())",X,TRUE
Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Delete WASM Filter', NOW(), uuid_nil())",9225d5a7-7255-49be-9233-daeabefae306,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9225d5a7-7255-49be-9233-daeabefae306','Catalog Management','Catalog Management','Filters','Delete WASM Filter','Delete WASM filter permanently from catalog.', NOW(), uuid_nil())",X,TRUE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Invite any Meshery Cloud user, or all Meshery users', NOW(), uuid_nil())",ccc4bc8d-f484-42b3-8a62-2667284605c3,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('ccc4bc8d-f484-42b3-8a62-2667284605c3','Collaboration','Collaboration','Collaborators for public designs','Invite any Meshery Cloud user, or all Meshery users','Invite any Meshery Cloud user, or all Meshery users, to work with you on a public design that control – including making changes and releasing new versions.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Invite any Meshery Cloud user to on a private design', NOW(), uuid_nil())",e28b851f-9a49-4ecf-a86e-493db1a27540,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('e28b851f-9a49-4ecf-a86e-493db1a27540','Collaboration','Collaboration','Collaborators for private designs','Invite any Meshery Cloud user to on a private design','Invite any Meshery Cloud user to work with you on a private design that control – including making changes and releasing new versions.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Message in real-time', NOW(), uuid_nil())",c42d08b2-c3e0-47b6-9e47-cfb149c0a5af,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c42d08b2-c3e0-47b6-9e47-cfb149c0a5af','Collaboration','Collaboration','Team Chat','Message in real-time','Message in real-time, unattached to a specific design. Control who can pariticpate in the discussion.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Discuss any design by leaving review comments', NOW(), uuid_nil())",da5adf96-9fb5-49b2-a55e-dec9c9c4acba,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('da5adf96-9fb5-49b2-a55e-dec9c9c4acba','Collaboration','Collaboration','Design Reviews','Discuss any design by leaving review comments','Discuss any design by leaving review comments or notes on a specific design. Control who has access, notify discussion participants with updates, and link from anywhere.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Manage access to designs', NOW(), uuid_nil())",7a17c8d3-bba2-474b-bb1e-be5b5eee5dad,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7a17c8d3-bba2-474b-bb1e-be5b5eee5dad','Collaboration','Collaboration','Organization and Team Management','Manage access to designs','Manage access to designs on a team-by-team, or individual user, basis.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','Create and collaborate in online designs in real-time.', NOW(), uuid_nil())",d5267c04-b3ee-43fe-8b97-2a3321eb7f8e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d5267c04-b3ee-43fe-8b97-2a3321eb7f8e','Collaboration','Collaboration','Collaborative Design','Create and collaborate in online designs in real-time.','Create and collaborate in online designs in real-time.', NOW(), uuid_nil())",X,FALSE
Collaboration,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Collaboration','', NOW(), uuid_nil())",58226400-8ffd-43f7-ab14-38f6edf50034,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('58226400-8ffd-43f7-ab14-38f6edf50034','Collaboration','Collaboration','Add-ons','','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','', NOW(), uuid_nil())",834c8d0b-d873-4689-a7b2-472499657c45,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('834c8d0b-d873-4689-a7b2-472499657c45','','Content Catalog','Deployment Patterns','','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Istio: Virtual Service, Destination Rules, ...', NOW(), uuid_nil())",81e90a7a-fac7-40d1-bf7d-e8250d36fe5d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('81e90a7a-fac7-40d1-bf7d-e8250d36fe5d','','Content Catalog','Best Practices','Istio: Virtual Service, Destination Rules, ...','', NOW(), uuid_nil())",,FALSE
