model,component_count,components
gitlab,3,"Backend,Defaults,Global"
gitlab,3,"Backend,Defaults,Global"
sshpiper,1,"Pipe"
sshpiper,1,"Pipe"
traefik-cloudflared-source-ip,1,"ServersTransportTCP"
traefik-cloudflared-source-ip,1,"ServersTransportTCP"
collectorset-controller,1,"CollectorSet"
collectorset-controller,1,"CollectorSet"
gemini,1,"SnapshotGroup"
gemini,1,"SnapshotGroup"
traefik-mesh,4,"TrafficTarget,HTTPRouteGroup,TCPRoute,TrafficSplit"
traefik-mesh,4,"TrafficTarget,HTTPRouteGroup,TCPRoute,TrafficSplit"
maesh,1,"TrafficSplit"
maesh,1,"TrafficSplit"
voyager-crds,1,"Ingress"
voyager-crds,1,"Ingress"
opscenter-core,1,"GrafanaDatasource"
opscenter-core,1,"GrafanaDatasource"
argo-cd,1,"ArgoCDExtension"
argo-cd,1,"ArgoCDExtension"
kubemod,1,"ModRule"
kubemod,1,"ModRule"
pinniped,8,"JWTAuthenticator,WebhookAuthenticator,CredentialIssuer,FederationDomain,OIDCClient,ActiveDirectoryIdentityProvider,LDAPIdentityProvider,OIDCIdentityProvider"
pinniped,8,"JWTAuthenticator,WebhookAuthenticator,CredentialIssuer,FederationDomain,OIDCClient,ActiveDirectoryIdentityProvider,LDAPIdentityProvider,OIDCIdentityProvider"
snapshot-controller,3,"VolumeSnapshotClass,VolumeSnapshotContent,VolumeSnapshot"
snapshot-controller,3,"VolumeSnapshotClass,VolumeSnapshotContent,VolumeSnapshot"
github-actions-runner-operator,1,"GithubActionRunner"
github-actions-runner-operator,1,"GithubActionRunner"
rabbitmq-operator,1,"RabbitmqCluster"
rabbitmq-operator,1,"RabbitmqCluster"
stash-catalog,2,"Function,Task"
stash-catalog,2,"Function,Task"
mariadb-operator,8,"Backup,Connection,Database,Grant,MariaDB,Restore,SqlJob,User"
mariadb-operator,8,"Backup,Connection,Database,Grant,MariaDB,Restore,SqlJob,User"
jspolicy,5,"JsPolicy,JsPolicyViolations,JsPolicyBundle,PolicyReport,ClusterPolicyReport"
jspolicy,5,"JsPolicy,JsPolicyViolations,JsPolicyBundle,PolicyReport,ClusterPolicyReport"
rabbitmq-cluster-operator,12,"Binding,Exchange,Federation,Permission,Policy,Queue,SchemaReplication,Shovel,SuperStream,TopicPermission,User,Vhost"
rabbitmq-cluster-operator,12,"Binding,Exchange,Federation,Permission,Policy,Queue,SchemaReplication,Shovel,SuperStream,TopicPermission,User,Vhost"
cloudcore,8,"EdgeApplication,NodeGroup,ClusterObjectSync,Device,DeviceModel,ObjectSync,Rule,RuleEndpoint"
cloudcore,8,"EdgeApplication,NodeGroup,ClusterObjectSync,Device,DeviceModel,ObjectSync,Rule,RuleEndpoint"
aws-target-group-binding,1,"TargetGroupBinding"
aws-target-group-binding,1,"TargetGroupBinding"
snapshot-validation-webhook,1,"VolumeGroupSnapshotClass"
snapshot-validation-webhook,1,"VolumeGroupSnapshotClass"
mongodb-operator,1,"MongoDB"
mongodb-operator,1,"MongoDB"
ditto-operator,1,"Ditto"
ditto-operator,1,"Ditto"
kubeform-provider-aws,59,"ProviderConfig,ProviderConfigUsage,StoreConfig,ClusterInstance,ClusterParameterGroup,Cluster,ClusterSnapshot,EventSubscription,GlobalCluster,SubnetGroup,ContributorInsights,GlobalTable,KinesisStreamingDestination,TableItem,TableReplica,Table,Tag,Route,SecurityGroupRule,VPCPeeringConnection,Cluster,ParameterGroup,ReplicationGroup,SubnetGroup,UserGroup,User,DomainPolicy,Domain,DomainSAMLOptions,Cluster,Configuration,Stream,Key,ACL,Cluster,ParameterGroup,Snapshot,SubnetGroup,ClusterActivityStream,ClusterEndpoint,ClusterInstance,ClusterParameterGroup,ClusterRoleAssociation,Cluster,ClusterSnapshot,DBInstanceAutomatedBackupsReplication,DBSnapshotCopy,EventSubscription,GlobalCluster,InstanceRoleAssociation,Instance,OptionGroup,ParameterGroup,Proxy,ProxyDefaultTargetGroup,ProxyEndpoint,ProxyTarget,Snapshot,SubnetGroup"
kubeform-provider-aws,59,"ProviderConfig,ProviderConfigUsage,StoreConfig,ClusterInstance,ClusterParameterGroup,Cluster,ClusterSnapshot,EventSubscription,GlobalCluster,SubnetGroup,ContributorInsights,GlobalTable,KinesisStreamingDestination,TableItem,TableReplica,Table,Tag,Route,SecurityGroupRule,VPCPeeringConnection,Cluster,ParameterGroup,ReplicationGroup,SubnetGroup,UserGroup,User,DomainPolicy,Domain,DomainSAMLOptions,Cluster,Configuration,Stream,Key,ACL,Cluster,ParameterGroup,Snapshot,SubnetGroup,ClusterActivityStream,ClusterEndpoint,ClusterInstance,ClusterParameterGroup,ClusterRoleAssociation,Cluster,ClusterSnapshot,DBInstanceAutomatedBackupsReplication,DBSnapshotCopy,EventSubscription,GlobalCluster,InstanceRoleAssociation,Instance,OptionGroup,ParameterGroup,Proxy,ProxyDefaultTargetGroup,ProxyEndpoint,ProxyTarget,Snapshot,SubnetGroup"
bitwarden-crd-operator,3,"BitwardenSecret,BitwardenTemplate,RegistryCredential"
bitwarden-crd-operator,3,"BitwardenSecret,BitwardenTemplate,RegistryCredential"
kubevault-catalog,1,"VaultServerVersion"
kubevault-catalog,1,"VaultServerVersion"
kubevault-operator,1,"VaultServer"
kubevault-operator,1,"VaultServer"
mattermost-operator,3,"ClusterInstallation,MattermostRestoreDB,Mattermost"
mattermost-operator,3,"ClusterInstallation,MattermostRestoreDB,Mattermost"
victoria-metrics-k8s-stack,14,"VMAgent,VMAlertmanagerConfig,VMAlertmanager,VMAlert,VMAuth,VMCluster,VMNodeScrape,VMPodScrape,VMProbe,VMRule,VMServiceScrape,VMSingle,VMStaticScrape,VMUser"
victoria-metrics-k8s-stack,14,"VMAgent,VMAlertmanagerConfig,VMAlertmanager,VMAlert,VMAuth,VMCluster,VMNodeScrape,VMPodScrape,VMProbe,VMRule,VMServiceScrape,VMSingle,VMStaticScrape,VMUser"
kubedb-crds,45,"ElasticsearchAutoscaler,EtcdAutoscaler,MariaDBAutoscaler,MemcachedAutoscaler,MongoDBAutoscaler,MySQLAutoscaler,PerconaXtraDBAutoscaler,PgBouncerAutoscaler,PostgresAutoscaler,ProxySQLAutoscaler,RedisAutoscaler,RedisSentinelAutoscaler,ElasticsearchVersion,EtcdVersion,KafkaVersion,MariaDBVersion,MemcachedVersion,MongoDBVersion,MySQLVersion,PerconaXtraDBVersion,PgBouncerVersion,PostgresVersion,ProxySQLVersion,RedisVersion,ElasticsearchDashboard,ElasticsearchOpsRequest,EtcdOpsRequest,KafkaOpsRequest,MariaDBOpsRequest,MemcachedOpsRequest,MongoDBOpsRequest,MySQLOpsRequest,PerconaXtraDBOpsRequest,PgBouncerOpsRequest,PostgresOpsRequest,ProxySQLOpsRequest,RedisOpsRequest,RedisSentinelOpsRequest,Publisher,Subscriber,MariaDBDatabase,MongoDBDatabase,MySQLDatabase,PostgresDatabase,RedisDatabase"
